example,score,synthesis_method,runs,success_rate,timeout_rate,time_mean,time_std,time_min,time_max,synthesis_steps_mean,synthesis_steps_std,synthesis_steps_min,synthesis_steps_max,mean_depth_mean,mean_depth_std,mean_depth_min,mean_depth_max,min_duration_mean,min_duration_std,min_duration_min,min_duration_max,leafs_mean,leafs_std,leafs_min,leafs_max,leaf_success_rate_mean,leaf_success_rate_std,leaf_success_rate_min,leaf_success_rate_max,nodes_total_mean,nodes_total_std,nodes_total_min,nodes_total_max,nodes_not_processed_mean,nodes_not_processed_std,nodes_not_processed_min,nodes_not_processed_max
constantFolding.lua,default,sota,3,1,0,0.37589580631659675,0.0021990619679107446,0.37348465295508504,0.37779104098444805,271,0.0,271,271,15.714285714285714,0.0,15.714285714285714,15.714285714285714,7,0.0,7,7,28,0.0,28,28,0.5,0.0,0.5,0.5,1198,0.0,1198,1198,926,0.0,926,926
constantFolding.lua,default,top-down-1.2,3,1,0,1.5401114986549753,0.08960920969735148,1.4612017729668878,1.6375297280028462,5452,0.0,5452,5452,13.0,0.0,13.0,13.0,7,0.0,7,7,1374,0.0,1374,1374,0.000727802037845706,0.0,0.000727802037845706,0.000727802037845706,5977,0.0,5977,5977,524,0.0,524,524
constantFolding.lua,default,top-down-1.4,3,1,0,1.427229237005425,0.013365821965838975,1.4119008969864808,1.4364511910243891,5293,0.0,5293,5293,17.0,0.0,17.0,17.0,11,0.0,11,11,1345,0.0,1345,1345,0.0007434944237918215,0.0,0.0007434944237918215,0.0007434944237918215,5644,0.0,5644,5644,350,0.0,350,350
constantFolding.lua,model_v1,sota,3,1,0,11.476968148335194,0.08256542003872666,11.408426092006266,11.56862853502389,323,0.0,323,323,18.125,0.0,18.125,18.125,8,0.0,8,8,26,0.0,26,26,0.6153846153846154,0.0,0.6153846153846154,0.6153846153846154,1360,0.0,1360,1360,1036,0.0,1036,1036
constantFolding.lua,model_v1,top-down-1.2,3,1,0,1.6442107090066809,0.5879299570739059,1.040967310022097,2.2155260969884694,18,0.0,18,18,19.0,0.0,19.0,19.0,14,0.0,14,14,1,0.0,1,1,1.0,0.0,1.0,1.0,96,0.0,96,96,77,0.0,77,77
constantFolding.lua,model_v1,top-down-1.4,3,1,0,1.3652620629873127,0.6406578474673149,0.9753558689844795,2.1046619869885035,18,0.0,18,18,19.0,0.0,19.0,19.0,14,0.0,14,14,1,0.0,1,1,1.0,0.0,1.0,1.0,96,0.0,96,96,77,0.0,77,77
constantFolding.lua,model_v2,sota,3,1,0,10.46187608531909,0.09023497803195225,10.380990641948301,10.559200351010077,298,0.0,298,298,16.555555555555557,0.0,16.555555555555557,16.555555555555557,8,0.0,8,8,28,0.0,28,28,0.6428571428571429,0.0,0.6428571428571429,0.6428571428571429,1220,0.0,1220,1220,921,0.0,921,921
constantFolding.lua,model_v2,top-down-1.2,3,1,0,0.9186811086838134,0.033345864826741844,0.8905268590315245,0.95550576900132,16,0.0,16,16,17.0,0.0,17.0,17.0,12,0.0,12,12,1,0.0,1,1,1.0,0.0,1.0,1.0,77,0.0,77,77,60,0.0,60,60
constantFolding.lua,model_v2,top-down-1.4,3,1,0,0.9342067256608667,0.04588961225444744,0.8887281900388189,0.9804966539959423,16,0.0,16,16,17.0,0.0,17.0,17.0,12,0.0,12,12,1,0.0,1,1,1.0,0.0,1.0,1.0,77,0.0,77,77,60,0.0,60,60
counter.lua,default,sota,3,1,0,0.3362183646919827,0.009818475522086992,0.3286754760192707,0.34731995803304017,58,0.0,58,58,8.0,0.0,8.0,8.0,5,0.0,5,5,8,0.0,8,8,1.0,0.0,1.0,1.0,133,0.0,133,133,74,0.0,74,74
counter.lua,default,top-down-1.2,3,1,0,0.3383443253502871,0.019150899081739527,0.3259050860069692,0.3603976410231553,20,0.0,20,20,8.0,0.0,8.0,8.0,6,0.0,6,6,1,0.0,1,1,1.0,0.0,1.0,1.0,58,0.0,58,58,37,0.0,37,37
counter.lua,default,top-down-1.4,3,1,0,0.3254369959856073,0.0017010305382717196,0.3235203929943964,0.3267674259841442,8,0.0,8,8,8.0,0.0,8.0,8.0,6,0.0,6,6,1,0.0,1,1,1.0,0.0,1.0,1.0,29,0.0,29,29,20,0.0,20,20
counter.lua,model_v1,sota,3,1,0,3.2544202580077886,0.6042254191864171,2.8283974610385485,3.945936399977654,65,0.0,65,65,8.0,0.0,8.0,8.0,5,0.0,5,5,9,0.0,9,9,1.0,0.0,1.0,1.0,132,0.0,132,132,66,0.0,66,66
counter.lua,model_v1,top-down-1.2,3,1,0,0.6164142193156295,0.003219294699263861,0.6126976579544134,0.6183375929831527,7,0.0,7,7,8.0,0.0,8.0,8.0,5,0.0,5,5,1,0.0,1,1,1.0,0.0,1.0,1.0,24,0.0,24,24,16,0.0,16,16
