example,sid,tag,old_score,is_leaf,alt_bindings,alt_refactorings,alt_dataflows,pOutputNumber,pAlternative,pWave,pAllowDataFlow,pCritical,pPercentOfBindedInputs,pPossibleDeadlock,pNumberOfBindedFunctions,pRestless,label,pNotTransferableInputs,pRestrictedTime,pWaitTime,pRefactoringType
counter.lua,-0,BindDecisionView,3052,False,5,0,0,1.0,2.0,0,0.0,False,1.0,False,0.0,0.0,0.5397416844879122,,,,
counter.lua,-0-0,BindDecisionView,4044,False,3,0,0,2.0,2.0,,0.0,True,0.0,False,1.0,0.0,0.37610124595452366,,,,
counter.lua,-0-0-0,BindDecisionView,3622,False,1,1,0,1.0,1.0,,2.0,False,1.0,False,0.0,0.0,0.3995891757719011,,,,
counter.lua,-0-0-0-0,BindDecisionView,3560,False,0,1,1,0.0,1.0,0.0,1.0,False,1.0,False,0.0,0.0,0.48822935611270024,,,,
counter.lua,-0-0-0-0-0,DataflowDecisionView,1994,False,0,1,0,,,,,,,,,,-0.5270142041236674,1.0,False,1.0,
counter.lua,-0-0-0-0-0-0,BreakLoopView,5000,False,0,0,0,,,,,,,,,,-0.5270142041236674,,,,BreakLoopView
counter.lua,-0-0-0-0-0-0-0,DataflowDecisionView,1992,False,0,0,0,,,,,,,,,,-0.5270142041236674,1.0,False,3.0,
counter.lua,-0-0-0-0-0-0-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.5270142041236674,0.0,False,6.0,
counter.lua,-0-0-0-0-1,BreakLoopView,5000,False,0,0,1,,,,,,,,,,0.5805242252250973,,,,BreakLoopView
counter.lua,-0-0-0-0-1-0,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,-0.5270142041236674,0.0,False,1.0,
counter.lua,-0-0-0-0-1-0-0,DataflowDecisionView,1992,False,0,0,0,,,,,,,,,,-0.5270142041236674,1.0,False,3.0,
counter.lua,-0-0-0-0-1-0-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.5270142041236674,0.0,False,6.0,
counter.lua,-0-0-0-0-1-1,DataflowDecisionView,1999,False,0,0,1,,,,,,,,,,0.8574088325622885,0.0,False,1.0,
counter.lua,-0-0-0-0-1-1-0,DataflowDecisionView,1993,False,0,0,0,,,,,,,,,,0.8574088325622885,1.0,False,2.0,
counter.lua,-0-0-0-0-1-1-0-0,DataflowDecisionView,1995,True,0,0,0,,,,,,,,,,0.8574088325622885,0.0,False,5.0,
counter.lua,-0-0-0-1,DataflowDecisionView,1994,False,1,1,0,,,,,,,,,,-0.5546117635590815,1.0,False,1.0,
counter.lua,-0-0-0-1-0,BindDecisionView,3560,False,0,1,0,0.0,1.0,0.0,1.0,False,1.0,False,0.0,0.0,-0.5270142041236674,,,,
counter.lua,-0-0-0-1-0-0,BreakLoopView,5000,False,0,0,0,,,,,,,,,,-0.5270142041236674,,,,BreakLoopView
counter.lua,-0-0-0-1-0-0-0,DataflowDecisionView,1992,False,0,0,0,,,,,,,,,,-0.5270142041236674,1.0,False,3.0,
counter.lua,-0-0-0-1-0-0-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.5270142041236674,0.0,False,6.0,
counter.lua,-0-0-0-1-1,BreakLoopView,5000,False,1,0,0,,,,,,,,,,-0.5684105432767886,,,,BreakLoopView
counter.lua,-0-0-0-1-1-0,BindDecisionView,3548,False,0,0,1,0.0,1.0,0.0,1.0,False,1.0,False,0.0,3.0,-0.5270142041236674,,,,
counter.lua,-0-0-0-1-1-0-0,DataflowDecisionView,1992,False,0,0,0,,,,,,,,,,-0.5270142041236674,1.0,False,3.0,
counter.lua,-0-0-0-1-1-0-0-0,DataflowDecisionView,1994,True,0,0,0,,,,,,,,,,-0.5270142041236674,0.0,False,6.0,
counter.lua,-0-0-0-1-1-1,DataflowDecisionView,1992,False,1,0,0,,,,,,,,,,-0.7339958998892735,1.0,False,3.0,
counter.lua,-0-0-0-1-1-1-0,BindDecisionView,3560,False,0,0,0,0.0,1.0,0.0,1.0,False,1.0,False,0.0,0.0,-0.7339958998892735,,,,
